site_id,date,NDVI
WL-BUF-06,2024-03,0.5622
WL-BUF-06,2024-04,0.6142
WL-BUF-06,2024-05,0.584
WL-BUF-06,2024-06,0.5462
WL-BUF-06,2024-07,0.4651
WL-BUF-06,2024-08,0.3512
WL-BUF-06,2024-09,0.3462
WL-BUF-06,2024-10,0.4948
WL-BUF-06,2024-11,0.6065
WL-BUF-06,2024-12,0.6208
WL-BUF-06,2025-01,0.6623
WL-BUF-06,2025-03,0.6583
WL-BUF-06,2025-04,0.6769
WL-BUF-06,2025-05,0.6437
WL-BUF-06,2025-06,0.5641
WL-BUF-06,2025-07,0.5115
WL-BUF-06,2025-08,0.4345
WL-BUF-06,2025-09,0.5193
WL-BUF-06,2025-10,0.5499
WL-BUF-06,2025-11,0.607
WL-BUF-06,2025-12,0.6251
WL-BUF-06,2026-01,0.6106
WL-BUF-06,2026-02,0.5802
WL-BUF-06,2026-03,0.6378
WL-BUF-06,2026-04,0.243
WL-BUF-06,2026-05,0.6153
WL-BUF-06,2026-06,0.5228
WL-BUF-06,2026-07,0.4479
WL-BUF-07,2023-01,0.5928
WL-BUF-07,2023-02,0.6368
WL-BUF-07,2023-03,0.6354
WL-BUF-07,2023-04,0.5615
WL-BUF-07,2023-06,0.5945
WL-BUF-07,2023-07,0.5234
WL-BUF-07,2023-08,0.4768
WL-BUF-07,2023-09,0.4385
WL-BUF-07,2023-10,0.5248
WL-BUF-07,2023-11,0.5815
WL-BUF-07,2023-12,0.6046
WL-BUF-07,2024-01,0.4953
WL-BUF-07,2024-02,0.6062
WL-BUF-07,2024-03,0.5646
WL-BUF-07,2024-04,0.6024
WL-BUF-07,2024-05,0.5677
WL-BUF-07,2024-06,0.5338
WL-BUF-07,2024-07,0.4737
WL-BUF-07,2024-08,0.3666
WL-BUF-07,2024-09,0.3892
WL-BUF-07,2024-10,0.5044
WL-BUF-07,2024-11,0.5863
WL-BUF-07,2024-12,0.5906
WL-BUF-07,2025-01,0.4989
WL-BUF-07,2025-03,0.618
WL-BUF-07,2025-04,0.6441
WL-BUF-07,2025-05,0.6199
WL-BUF-07,2025-06,0.5352
WL-BUF-07,2025-07,0.5126
WL-BUF-07,2025-08,0.4423
WL-BUF-07,2025-09,0.5482
WL-BUF-07,2025-10,0.544
WL-BUF-07,2025-11,0.5965
WL-BUF-07,2025-12,0.5999
WL-BUF-07,2026-01,0.5883
WL-BUF-07,2026-02,0.5653
WL-BUF-07,2026-03,0.6072
WL-BUF-07,2026-04,0.3504
WL-BUF-07,2026-05,0.5952
WL-BUF-07,2026-06,0.5146
WL-BUF-07,2026-07,0.4549
WL-BUF-08,2023-01,0.7166
WL-BUF-08,2023-02,0.745
WL-BUF-08,2023-03,0.7604
WL-BUF-08,2023-04,0.6416
WL-BUF-08,2023-06,0.6967
WL-BUF-08,2023-07,0.6118
WL-BUF-08,2023-08,0.5407
WL-BUF-08,2023-09,0.5022
WL-BUF-08,2023-10,0.6341
WL-BUF-08,2023-11,0.6861
WL-BUF-08,2023-12,0.7589
WL-BUF-08,2024-01,0.7311
WL-BUF-08,2024-02,0.7368
WL-BUF-08,2024-03,0.683
WL-BUF-08,2024-04,0.7402
WL-BUF-08,2024-05,0.7205
WL-BUF-08,2024-06,0.6815
WL-BUF-08,2024-07,0.5896
WL-BUF-08,2024-08,0.4432
WL-BUF-08,2024-09,0.4718
WL-BUF-08,2024-10,0.5973
WL-BUF-08,2024-11,0.7271
WL-BUF-08,2024-12,0.7333
WL-BUF-08,2025-01,0.7816
WL-BUF-08,2025-03,0.7715
WL-BUF-08,2025-04,0.7946
WL-BUF-08,2025-05,0.7724
WL-BUF-08,2025-06,0.705
WL-BUF-08,2025-07,0.6349
WL-BUF-08,2025-08,0.548
WL-BUF-08,2025-09,0.65
WL-BUF-08,2025-10,0.6734
WL-BUF-08,2025-11,0.736
WL-BUF-08,2025-12,0.7557
WL-BUF-08,2026-01,0.7392
WL-BUF-08,2026-02,0.7213
WL-BUF-08,2026-03,0.761
WL-BUF-08,2026-04,0.5245
WL-BUF-08,2026-05,0.7511
WL-BUF-08,2026-06,0.6481
WL-BUF-08,2026-07,0.5583
WL-DAR-01,2023-01,0.718
WL-DAR-01,2023-03,0.7547
WL-DAR-01,2023-04,0.6748
WL-DAR-01,2023-06,0.627
WL-DAR-01,2023-07,0.5205
WL-DAR-01,2023-08,0.4815
WL-DAR-01,2023-09,0.5326
WL-DAR-01,2023-10,0.5995
WL-DAR-01,2023-11,0.7275
WL-DAR-01,2023-12,0.7146
WL-DAR-01,2024-01,0.7513
WL-DAR-01,2024-02,0.7804
WL-DAR-01,2024-03,0.682
WL-DAR-01,2024-04,0.6476
WL-DAR-01,2024-05,0.6832
WL-DAR-01,2024-06,0.5886
WL-DAR-01,2024-07,0.4732
WL-DAR-01,2024-08,0.4375
WL-DAR-01,2024-09,0.5224
WL-DAR-01,2024-10,0.5691
WL-DAR-01,2024-11,0.6073
WL-DAR-01,2024-12,0.6336
WL-DAR-01,2025-01,0.8016
WL-DAR-01,2025-03,0.7414
WL-DAR-01,2025-04,0.6529
WL-DAR-01,2025-05,0.6234
WL-DAR-01,2025-06,0.545
WL-DAR-01,2025-07,0.4992
WL-DAR-01,2025-08,0.5114
WL-DAR-01,2025-09,0.586
WL-DAR-01,2025-10,0.5853
WL-DAR-01,2025-11,0.6175
WL-DAR-01,2025-12,0.7113
WL-DAR-01,2026-01,0.7618
WL-DAR-01,2026-02,0.7404
